Country,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,31.2,31.2,22.88,22.88,22.88,22.88,22.88,22.88,22.88,21.84,21.84,22.05,22.05,22.47,22.47,22.47,22.47,20.33,19.26,18.19,18.19,18.19,18.19,18.19
Mexico,MEX,,,,,,,,,,,,,,,,,,,,35,35,35,34,33,30,29,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,35,35,34.5,34.5,34.5,31.5,29.6,25.5,25.5,25.5,25.5,25,25,25,25,25,25,25,25,25,25,25,25.8,25.8
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,33,33,33,33,33,33,33,33,30,30,30,28,28,28,28,28,28,28,28,28,28,28,28,28
Norway,NOR,,,,,,,,,,,,,,,,,,,,28,28,28,28,28,23.75,28,28,28,28,28,28,28,28,27,27,25,24,23,22,22,22,22,22
Poland,POL,,,,,,,,,,,,,,,,,,,,30,28,28,27,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Portugal,PRT,,,,,,,,,,,,,,,,,,,,32,32,30,30,25,25,25,25,25,25,25,27,30,30,30,28,28,28,30,30,30,30,30,30
Slovakia,SVK,,,,,,,,,,,,,,,,,,,,29,29,25,25,19,19,19,19,19,19,19,19,19,23,22,22,22,21,21,21,21,21,21,21
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,25,23,22,21,20,20,18,17,17,17,17,19,19,19,19,19,19,19
Spain,ESP,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,32.5,30,30,30,30,30,30,30,28,25,25,25,25,25,25,25,25
Sweden,SWE,,,,,,,,,,,,,,,,,,,,28,28,28,28,28,28,28,28,28,26.3,26.3,26.3,26.3,22,22,22,22,22,22,21.4,21.4,20.6,20.6,20.6
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Turkey,TUR,,,,,,,,,,,,,,,,,,,,33,33,33,30,33,30,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,25,23,20
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,28,28,28,26,24,23,21,20,20,19,19,19,19,19,19,25
United States,USA,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,21,21,21,21,21,21
