Country,Country Code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,82.73407141,83.30686355,83.07335031,83.85607471,80.34676677,75.96323627,76.26823559,83.51989721,86.67533931,87.35166891,86.8808235,78.7841245,31850.68085,34534.79745,37144.73936,38007.19747,39207.42714,40447.64505,41550.20252,42684.39237,43647.54526,45315.34395,47494.83481,49293.72919,51518.06858,56165.75299,56442.55687,62084.22
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,71.22000465,70.8029657,70.23871828,75.93469617,81.68437109,74.2406264,69.33560274,70.00861847,67.56560657,70.10042514,69.58604274,72.95857745,6366.498062,7567.961887,7762.28312,8207.285287,8226.279276,8343.371952,8799.876079,9345.435527,9726.933086,10094.55438,11172.06322,12245.0973,12678.3605,14035.93489,15580.69237,16359.29
Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3069.49,3719,3692.47,3874.54,4757.07,4904.92,4959.25,5091.83,5197.52,5278.81,5271.94,5645.74,5480.11,5463.08,5637.2,
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,107.910556,94.43249909,91.44496892,89.1043508,87.2028017,84.74647517,86.1789529,87.35375756,89.39295256,87.30138337,85.1698092,86.77811498,18848.40529,20260.98147,21436.40709,21792.08425,22064.88592,22322.66563,23159.53216,22781.35017,22643.76896,22909.97376,23475.44816,24532.9193,25446.38842,28708.96269,29692.15906,31566.25
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,101.3181912,96.52062442,93.29542468,97.76769103,95.03601763,84.74447563,88.23443807,94.1685074,96.40864605,90.609986,84.67474564,82.06947729,23432.16599,25123.3144,25835.77199,26380.25739,27515.76393,28389.39924,29822.09642,30569.18842,29839.98194,30467.876,32431.05258,34178.71596,35809.82596,37644.09246,39634.86602,37203.59
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11276.83,12329.88,12828.05,14840.05,14296.42,13948.17,14593.7,14834.88,14535.58,15516.25,15959.04,16261.71,18510.43,21198.98,21684.24,
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,95.70973164,102.2470635,94.06523761,90.1982036,86.69354958,86.08345146,89.68534242,90.41804254,91.23156175,86.91285202,88.47172726,88.90279036,7296.050685,8175.353779,8676.137368,9633.939236,10031.72043,10206.82316,10518.65998,10815.10493,11141.95338,11586.35835,12346.79813,13205.92398,14569.82174,16933.30479,16766.31544,18983.97
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,85.25629591,86.2983116,84.91815185,85.42123207,85.13090002,85.32262862,88.26060914,87.46822254,90.73491719,92.46505126,93.52717189,90.4915347,11544.99594,12181.13142,13389.08596,14251.65729,13490.85562,13023.07771,14045.92296,14973.37037,14407.14532,14261.48342,15082.46604,15189.76083,15918.762,17311.99775,17652.99826,18950.94
Slovakia,SVK,,,,,,,,,,,,,,,,,,,,,,,96.73522156,106.5405326,97.42010903,91.70160429,95.93176438,105.5449268,90.61330296,90.89411859,80.75871603,75.84408126,79.4520797,77.64150747,7763.171322,8807.978679,10279.12513,10712.64037,10942.46895,11181.90773,11986.68851,12643.78367,13788.51703,12737.15148,11985.5298,12525.33915,13641.02685,14816.15344,15846.10836,15795.11
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,106.2057748,90.2935087,90.74037491,92.43384817,94.03657468,95.06722544,97.42302197,94.52250271,94.30938795,93.25453788,92.787371,91.07823164,12052.0897,13423.27511,13678.49189,14060.43192,14815.21291,14435.37905,18188.43462,15798.06455,15505.42087,15761.2254,16181.43992,17043.54856,18356.05697,21098.76965,21881.85654,23064.68
Sweden,SWE,,,,,,,,,,,,,,,,,,,,,,,126.0657666,121.9393039,117.4782601,112.8287593,112.0594711,106.1025658,105.044192,107.2340914,107.5714126,104.9210761,104.5947832,102.1979275,20278.33325,21189.07686,21206.04327,21398.89642,22310.17995,23270.35039,24027.98865,24025.22505,24325.7985,25169.27385,25674.83922,26780.86234,27813.04185,29336.47985,29816.14847,31389.57
Turkey,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5824.56,6124.78,6528.16,6850.93,7291.53,7698.23,8205.85,9036.33,9574.78,9808.9,9929.06,10034.63,,
United States,USA,66.75918775,69.12314633,73.74793341,71.01906415,69.10182311,67.48031276,67.13592719,70.806844,71.19577112,75.69685886,75.84440669,73.45708888,74.64912322,75.53460857,75.10353424,73.38300348,73.40467032,75.32730033,77.16025403,78.7355128,77.61704623,75.68923636,75.61717172,74.24705201,71.93690519,70.23888113,69.29676409,68.59450849,71.22035387,73.47220587,74.53480563,73.73858527,73.9092777,73.34112162,18001.83438,19322.24916,20441.34759,20976.41896,21009.7106,20781.95193,20725.9662,21106.34293,21530.82468,22137.29935,22754.81675,23782.66278,24952.27607,30124.90311,31627.60528,
