Exchange Date,Close
11-Mar-04,20.67
12-Mar-04,18.3
15-Mar-04,21.13
16-Mar-04,20.34
17-Mar-04,18.11
18-Mar-04,18.53
19-Mar-04,19.15
22-Mar-04,21.58
23-Mar-04,20.67
24-Mar-04,19.81
25-Mar-04,17.88
26-Mar-04,17.33
29-Mar-04,16.5
30-Mar-04,16.28
31-Mar-04,16.74
01-Apr-04,16.65
02-Apr-04,15.64
05-Apr-04,14.97
06-Apr-04,15.32
07-Apr-04,15.76
08-Apr-04,16.26
12-Apr-04,15.28
13-Apr-04,17.26
14-Apr-04,15.62
15-Apr-04,15.74
16-Apr-04,14.94
19-Apr-04,15.42
20-Apr-04,16.67
21-Apr-04,15.6
22-Apr-04,14.61
23-Apr-04,14.01
26-Apr-04,14.77
27-Apr-04,15.07
28-Apr-04,16.29
29-Apr-04,16.6
30-Apr-04,17.19
03-May-04,16.62
04-May-04,16.55
05-May-04,15.77
06-May-04,17.05
07-May-04,18.13
10-May-04,19.77
11-May-04,18.57
12-May-04,18.14
13-May-04,18.86
14-May-04,18.47
17-May-04,19.96
18-May-04,19.33
19-May-04,18.93
20-May-04,18.67
21-May-04,18.49
24-May-04,18.08
25-May-04,15.96
26-May-04,15.97
27-May-04,15.28
28-May-04,15.5
01-Jun-04,16.3
02-Jun-04,16.08
03-Jun-04,17.03
04-Jun-04,16.78
07-Jun-04,15.39
08-Jun-04,15.01
09-Jun-04,15.39
10-Jun-04,15.04
11-Jun-04,15.04
14-Jun-04,16.07
15-Jun-04,15.05
16-Jun-04,14.79
17-Jun-04,15.15
18-Jun-04,14.99
21-Jun-04,15.26
22-Jun-04,14.31
23-Jun-04,13.98
24-Jun-04,14.81
25-Jun-04,15.19
28-Jun-04,16.07
29-Jun-04,15.47
30-Jun-04,14.34
01-Jul-04,15.2
02-Jul-04,15.08
06-Jul-04,16.25
07-Jul-04,15.81
08-Jul-04,16.2
09-Jul-04,15.78
12-Jul-04,14.96
13-Jul-04,14.46
